policy,n_runs,hit_rate,mean_first_hit_round_among_hits,mean_labels_to_first_hit_among_hits,mean_censored_labels_all_runs
ensemble_ucb:top_methods,140,0.7571428571428571,1.5566037735849056,35.56603773584906,43.92857142857143
diverse_ensemble:top_methods,140,0.7571428571428571,1.9056603773584906,39.056603773584904,46.57142857142857
ensemble_mean:top_methods,140,0.6785714285714286,1.694736842105263,36.94736842105263,47.57142857142857
diverse_zscore:ESM3,140,0.65,1.098901098901099,30.98901098901099,44.642857142857146
additive_plus_zscore:ProSST-2048,140,0.6285714285714286,1.75,37.5,49.57142857142857
zscore_linear:ESM3,140,0.6142857142857143,1.1627906976744187,31.627906976744185,46.42857142857143
zscore_linear:ProSST-2048,140,0.5785714285714286,1.5185185185185186,35.18518518518518,49.857142857142854
random,140,0.55,2.0779220779220777,40.77922077922078,53.92857142857143
additive_lookup,140,0.4928571428571429,0.855072463768116,28.55072463768116,49.57142857142857
disagreement:additive_vs_ProSST-2048,140,0.30714285714285716,1.1162790697674418,31.162790697674417,58.07142857142857
