assay,seed,policy,round,n_observed,best_observed_fitness,best_observed_percentile,top1pct_found,pool_size
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,random,0,20,2.908,0.9804772234273319,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,random,1,30,3.969,0.9945770065075922,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,random,2,40,3.969,0.9945770065075922,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,random,3,50,3.969,0.9945770065075922,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,random,4,60,3.969,0.9945770065075922,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,random,5,70,3.969,0.9945770065075922,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,additive_lookup,0,20,2.908,0.9804772234273319,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,additive_lookup,1,30,2.908,0.9804772234273319,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,additive_lookup,2,40,3.554,0.9902386117136659,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,additive_lookup,3,50,3.554,0.9902386117136659,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,additive_lookup,4,60,3.554,0.9902386117136659,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,additive_lookup,5,70,3.554,0.9902386117136659,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,zscore_linear:ProSST-2048,0,20,2.908,0.9804772234273319,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,zscore_linear:ProSST-2048,1,30,2.987,0.9815618221258134,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,zscore_linear:ProSST-2048,2,40,2.987,0.9815618221258134,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,zscore_linear:ProSST-2048,3,50,2.987,0.9815618221258134,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,zscore_linear:ProSST-2048,4,60,2.987,0.9815618221258134,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,zscore_linear:ProSST-2048,5,70,3.921,0.9934924078091106,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,zscore_linear:ESM3,0,20,2.908,0.9804772234273319,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,zscore_linear:ESM3,1,30,3.052,0.9837310195227765,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,zscore_linear:ESM3,2,40,3.052,0.9837310195227765,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,zscore_linear:ESM3,3,50,3.052,0.9837310195227765,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,zscore_linear:ESM3,4,60,3.052,0.9837310195227765,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,zscore_linear:ESM3,5,70,3.052,0.9837310195227765,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,additive_plus_zscore:ProSST-2048,0,20,2.908,0.9804772234273319,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,additive_plus_zscore:ProSST-2048,1,30,2.987,0.9815618221258134,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,additive_plus_zscore:ProSST-2048,2,40,2.987,0.9815618221258134,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,additive_plus_zscore:ProSST-2048,3,50,2.987,0.9815618221258134,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,additive_plus_zscore:ProSST-2048,4,60,2.987,0.9815618221258134,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,additive_plus_zscore:ProSST-2048,5,70,3.921,0.9934924078091106,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,disagreement:additive_vs_ProSST-2048,0,20,2.908,0.9804772234273319,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,disagreement:additive_vs_ProSST-2048,1,30,2.908,0.9804772234273319,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,disagreement:additive_vs_ProSST-2048,2,40,2.987,0.9815618221258134,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,disagreement:additive_vs_ProSST-2048,3,50,3.1060000000000003,0.9848156182212582,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,disagreement:additive_vs_ProSST-2048,4,60,3.1060000000000003,0.9848156182212582,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,disagreement:additive_vs_ProSST-2048,5,70,3.1060000000000003,0.9848156182212582,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,ensemble_mean:top_methods,0,20,2.908,0.9804772234273319,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,ensemble_mean:top_methods,1,30,2.908,0.9804772234273319,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,ensemble_mean:top_methods,2,40,2.908,0.9804772234273319,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,ensemble_mean:top_methods,3,50,2.908,0.9804772234273319,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,ensemble_mean:top_methods,4,60,3.052,0.9837310195227765,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,ensemble_mean:top_methods,5,70,3.193,0.9859002169197397,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,ensemble_ucb:top_methods,0,20,2.908,0.9804772234273319,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,ensemble_ucb:top_methods,1,30,2.908,0.9804772234273319,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,ensemble_ucb:top_methods,2,40,2.987,0.9815618221258134,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,ensemble_ucb:top_methods,3,50,2.987,0.9815618221258134,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,ensemble_ucb:top_methods,4,60,2.987,0.9815618221258134,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,ensemble_ucb:top_methods,5,70,2.987,0.9815618221258134,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,diverse_ensemble:top_methods,0,20,2.908,0.9804772234273319,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,diverse_ensemble:top_methods,1,30,2.908,0.9804772234273319,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,diverse_ensemble:top_methods,2,40,2.908,0.9804772234273319,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,diverse_ensemble:top_methods,3,50,2.987,0.9815618221258134,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,diverse_ensemble:top_methods,4,60,2.987,0.9815618221258134,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,diverse_ensemble:top_methods,5,70,2.987,0.9815618221258134,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,diverse_zscore:ESM3,0,20,2.908,0.9804772234273319,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,diverse_zscore:ESM3,1,30,3.052,0.9837310195227765,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,diverse_zscore:ESM3,2,40,3.052,0.9837310195227765,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,diverse_zscore:ESM3,3,50,3.052,0.9837310195227765,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,diverse_zscore:ESM3,4,60,3.052,0.9837310195227765,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,diverse_zscore:ESM3,5,70,3.052,0.9837310195227765,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,random,0,20,6.211,1.0,1,922
