policy,round,n_runs,mean_n_observed,mean_best_observed_fitness,mean_best_observed_percentile,top1pct_found_rate
additive_lookup,0,140,20.0,2524.2423503799223,0.9601278635342421,0.18571428571428572
additive_plus_zscore:ProSST-2048,0,140,20.0,2524.2423503799223,0.9601278635342421,0.18571428571428572
disagreement:additive_vs_ProSST-2048,0,140,20.0,2524.2423503799223,0.9601278635342421,0.18571428571428572
diverse_ensemble:top_methods,0,140,20.0,2524.2423503799223,0.9601278635342421,0.18571428571428572
diverse_zscore:ESM3,0,140,20.0,2524.2423503799223,0.9601278635342421,0.18571428571428572
ensemble_mean:top_methods,0,140,20.0,2524.2423503799223,0.9601278635342421,0.18571428571428572
ensemble_ucb:top_methods,0,140,20.0,2524.2423503799223,0.9601278635342421,0.18571428571428572
random,0,140,20.0,2524.2423503799223,0.9601278635342421,0.18571428571428572
zscore_linear:ESM3,0,140,20.0,2524.2423503799223,0.9601278635342421,0.18571428571428572
zscore_linear:ProSST-2048,0,140,20.0,2524.2423503799223,0.9601278635342421,0.18571428571428572
additive_lookup,1,140,30.0,2646.792585999288,0.974588970462394,0.4142857142857143
additive_plus_zscore:ProSST-2048,1,140,30.0,2528.632272203975,0.9767641339580493,0.37142857142857144
disagreement:additive_vs_ProSST-2048,1,140,30.0,2539.8827714516324,0.9633745713529441,0.2357142857142857
diverse_ensemble:top_methods,1,140,30.0,2636.9875418479833,0.9835256141307525,0.4357142857142857
diverse_zscore:ESM3,1,140,30.0,2721.826209720581,0.9842523513784761,0.5214285714285715
ensemble_mean:top_methods,1,140,30.0,2553.242463641157,0.9808498432379061,0.38571428571428573
ensemble_ucb:top_methods,1,140,30.0,2591.0300869642006,0.9816489202853677,0.45714285714285713
random,1,140,30.0,2551.8031497503894,0.971200850505509,0.24285714285714285
zscore_linear:ESM3,1,140,30.0,2635.878792462911,0.9828166532535862,0.45714285714285713
zscore_linear:ProSST-2048,1,140,30.0,2524.429701637438,0.9771492919296131,0.37857142857142856
additive_lookup,2,140,40.0,2651.103107654211,0.9792014481127747,0.4642857142857143
additive_plus_zscore:ProSST-2048,2,140,40.0,2528.7061858162056,0.9806627957018179,0.40714285714285714
disagreement:additive_vs_ProSST-2048,2,140,40.0,2539.932737242524,0.969044983400063,0.2357142857142857
diverse_ensemble:top_methods,2,140,40.0,2641.3312896668112,0.986473257903026,0.5142857142857142
diverse_zscore:ESM3,2,140,40.0,2721.8660431427975,0.9865894869640901,0.5285714285714286
ensemble_mean:top_methods,2,140,40.0,2663.109910676432,0.9854328716399063,0.4785714285714286
ensemble_ucb:top_methods,2,140,40.0,2669.5163226362824,0.9888443192932624,0.5928571428571429
random,2,140,40.0,2551.900887896426,0.9767299924134315,0.32142857142857145
zscore_linear:ESM3,2,140,40.0,2635.9431729749103,0.9858469445305534,0.5214285714285715
