policy,round,n_runs,mean_n_observed,mean_best_observed_fitness,mean_best_observed_percentile,top1pct_found_rate
ensemble_rank_mean_disagreement:top_methods,0,140,20.0,2524.2496897784254,0.9596417206770992,0.18571428571428572
ensemble_rank_mean_std:top_methods,0,140,20.0,2524.2496897784254,0.9596417206770992,0.18571428571428572
ensemble_rank_mean_disagreement:top_methods,1,140,30.0,2540.950773627476,0.9799215568203525,0.38571428571428573
ensemble_rank_mean_std:top_methods,1,140,30.0,2596.867610765953,0.9836241066238415,0.5285714285714286
ensemble_rank_mean_disagreement:top_methods,2,140,40.0,2641.340139480547,0.9866956183781423,0.5142857142857142
ensemble_rank_mean_std:top_methods,2,140,40.0,2623.833651040039,0.9889976268822559,0.6285714285714286
ensemble_rank_mean_disagreement:top_methods,3,140,50.0,2745.3622915498972,0.9903891642499348,0.6142857142857143
ensemble_rank_mean_std:top_methods,3,140,50.0,2681.023880641015,0.991448812234897,0.7071428571428572
ensemble_rank_mean_disagreement:top_methods,4,140,60.0,2756.823818711392,0.9927670579434856,0.6857142857142857
ensemble_rank_mean_std:top_methods,4,140,60.0,2784.857386125311,0.994002146253908,0.75
ensemble_rank_mean_disagreement:top_methods,5,140,70.0,2764.8685698114678,0.9933568503091337,0.7142857142857143
ensemble_rank_mean_std:top_methods,5,140,70.0,2788.0783166036176,0.9946352721456668,0.7857142857142857
