budget,regime,model,zero_shot_method,n_rows,mean_best_top100_percentile,mean_top1pct_recall_at_100,mean_abs_spearman_all
20,mixed_random,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,1065,0.9943112533147243,0.18393606905094112,0.48908964018254775
20,mixed_random,top_score_ridge,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.9939228183351198,0.1910521952248851,0.5093072076697237
20,mixed_random,ridge,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.9936154983874108,0.18023716935725315,0.5090656032619333
20,mixed_random,zscore_linear,S2F_MSA,1065,0.9935896730628625,0.1705949258423452,0.5095437879891626
20,mixed_random,additive_plus_top_score_ridge,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.9934623689752486,0.18301092278743042,0.4995398517784928
20,mixed_random,zscore_linear,S3F_MSA,1065,0.9930921858923744,0.16640960954989265,0.5166874492100654
20,mixed_random,zscore_linear,PoET,1065,0.9924932686073491,0.16245740165715136,0.4908481474509154
20,mixed_random,zscore_linear,S3F,1065,0.9924757853623954,0.18201636893726073,0.489438270916854
20,mixed_random,additive_plus_zscore,S2F_MSA,1062,0.9924350333690878,0.16570361107668122,0.5090262123373249
20,mixed_random,zscore_linear,ESM3,1065,0.9923878008334446,0.1896333850728058,0.48292581333909945
20,mixed_random,additive_plus_zscore,S3F_MSA,1062,0.9921029097073858,0.16375829499424938,0.5161257645964955
20,mixed_random,zscore_linear,TranceptEVE_L,1065,0.9914899113099493,0.15462419863769344,0.4769070123247557
20,mixed_random,zscore_linear,ProtSSN_ensemble,1065,0.991401241793146,0.17365377596012174,0.47420557940514313
20,mixed_random,zscore_linear,S2F,1065,0.9913404705871157,0.17190493461307335,0.4757018945076519
20,mixed_random,zscore_linear,TranceptEVE_M,1065,0.991326293838347,0.15953220608985638,0.47570042645921823
20,mixed_random,additive_plus_zscore,PoET,1064,0.9911182253766034,0.15881083290011733,0.4904186123349764
20,mixed_random,random_forest,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.9910234399931334,0.1486743751090504,0.5041701571140347
20,mixed_random,zscore_linear,SaProt_650M_AF2,1065,0.9907951165911565,0.16962607921697961,0.472875097002342
20,mixed_random,elastic_net,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.990573627382127,0.16111368934156106,0.5361085727218838
20,mixed_random,zscore_linear,RSALOR,1065,0.9905358811574932,0.1546897231454333,0.48556077746822524
20,mixed_random,additive_plus_zscore,TranceptEVE_L,1062,0.9905039163790508,0.1539401750676239,0.47727548456918584
20,mixed_random,additive_plus_zscore,TranceptEVE_M,1062,0.9904374516562735,0.1584144372524926,0.47530544765257765
20,mixed_random,xgboost,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.9904112748509735,0.14782730512804773,0.4758552633145042
20,mixed_random,additive_plus_zscore,S3F,1062,0.9903777156833828,0.1774647218745376,0.4898784723914862
20,mixed_random,additive_plus_zscore,ProtSSN_ensemble,1062,0.9899529778571194,0.17114476598498732,0.474962510187478
20,mixed_random,zscore_linear,ProSST-1024,1065,0.9899176665037178,0.2023727072812932,0.5035505778708539
20,mixed_random,zscore_linear,ESCOTT,1065,0.9897354185800696,0.1288694966802408,0.5000078462004877
20,mixed_random,additive_plus_zscore,ESM3,1062,0.9896674045534618,0.18315200329341608,0.4838765001420105
20,mixed_random,zscore_linear,ProSST-512,1065,0.9896642989630462,0.18084790243005466,0.4889767555484463
20,mixed_random,additive_plus_zscore,S2F,1062,0.98956116968631,0.1674919119403269,0.47597419760168813
20,mixed_random,zscore_linear,ProSST-4096,1065,0.9894408289339803,0.1756673328379139,0.5128721401839008
20,mixed_random,zscore_linear,ProSST-128,1065,0.9891996709591494,0.18554970687078876,0.4853182926101903
20,mixed_random,zscore_linear,VenusREM,1065,0.9888679121861937,0.19683433962509275,0.5361364405357933
20,mixed_random,additive_plus_zscore,SaProt_650M_AF2,1062,0.9888645461932036,0.1633983298044657,0.4745655778430045
20,mixed_random,additive_plus_zscore,RSALOR,1062,0.9886101498619129,0.15121606074048424,0.48455855393817154
20,mixed_random,zscore_linear,GEMME,1065,0.9885613732435456,0.13251684983530845,0.475817029716956
20,mixed_random,additive_plus_zscore,ESCOTT,1062,0.9881031160893272,0.1313508799316887,0.4999978106103606
20,mixed_random,additive_plus_zscore,ProSST-1024,1062,0.9874722054728126,0.19560404012974766,0.5039386255369995
20,mixed_random,additive_plus_zscore,GEMME,1062,0.9871393597352406,0.13251153726624257,0.4744425443412325
20,mixed_random,additive_plus_zscore,ProSST-512,1062,0.9870800722891874,0.17447279772017496,0.48890591956780277
20,mixed_random,additive_plus_zscore,ProSST-128,1062,0.986747162791621,0.18121009405718846,0.48504426503794634
20,mixed_random,additive_plus_zscore,VenusREM,1062,0.9867176415674408,0.18899815790190402,0.536692450934999
20,mixed_random,lasso,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.986276320996852,0.13428104547494094,0.4843263215293297
20,mixed_random,zscore_linear,ProSST-2048,1065,0.9860982912638057,0.20414798923053462,0.5225290953865974
20,mixed_random,additive_plus_zscore,ProSST-4096,1062,0.9858856918445402,0.1698370200513839,0.5117371298488514
20,mixed_random,additive_plus_site_ridge,mutation_identity,1065,0.9850914800978264,0.11002257318000859,0.40465941471106476
20,mixed_random,onehot_site_ridge,mutation_identity,1065,0.9850707348713609,0.11012069759223717,0.40533565018671575
20,mixed_random,additive_plus_zscore,ProSST-2048,1062,0.9843166401835864,0.19718182627161315,0.5236546033779591
20,mixed_random,zscore_linear,VespaG,1065,0.9838799551675032,0.10995812597952309,0.4822954389320643
20,mixed_random,additive_lookup,none,1065,0.9836037793554923,0.10948155656891523,0.0720871313368579
20,mixed_random,global_mean,mutation_identity,1065,0.9835863382229856,0.10976291610832074,nan
20,mixed_random,hist_gradient_boosting,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.9835863382229856,0.10976291610832074,nan
20,mixed_random,additive_plus_zscore,VespaG,1062,0.9824204123531083,0.11210634858500293,0.4828834499657731
20,mixed_random,mutation_order_mean,mutation_identity,1065,0.9822679471668435,0.11060850001535905,0.3910246468540166
20,single_only,ridge,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.9940764046243817,0.18842471010725081,0.5139983265032156
20,single_only,additive_plus_top_score_ridge,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.9935730875102413,0.1848726202248965,0.5022020843123737
20,single_only,zscore_linear,S2F_MSA,1065,0.9932669504356699,0.1674554375949679,0.5095203773284431
20,single_only,additive_plus_zscore,S2F,1065,0.9932072889850522,0.16800165224456232,0.47017112906849867
20,single_only,zscore_linear,S3F_MSA,1065,0.9929402611884399,0.16424314532965617,0.5166522085842336
20,single_only,additive_plus_zscore,S2F_MSA,1065,0.9927648080504893,0.16375558075662316,0.49933325662922845
20,single_only,zscore_linear,PoET,1065,0.9925630118895425,0.16349227380471493,0.4905991846011866
