assay,seed,budget,regime,model,features,n_features,ridge,n_train,n_test,spearman_all,top1pct_recall_at_100,best_true_in_pred_top_100,best_true_in_pred_top_100_percentile
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,20,single_only,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,20,902,0.019573220382482673,0.3,3.969,0.9945770065075922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,20,mixed_random,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,20,902,-0.019871098984726145,0.3,5.07,0.9989154013015185
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,20,single_plus_double,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,20,902,0.05861840362007938,0.2,5.07,0.9989154013015185
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,50,single_only,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,50,872,-0.10241513331162967,0.1111111111111111,3.554,0.9902386117136659
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,50,mixed_random,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,50,872,0.016431292979210817,0.0,2.757,0.9718004338394793
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,50,single_plus_double,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,50,872,0.03193109524987487,0.2222222222222222,5.07,0.9989154013015185
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,100,single_only,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,100,822,0.023963963694382265,0.0,3.455,0.9891540130151844
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,100,mixed_random,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,100,822,0.07128150355202408,0.0,2.908,0.9804772234273319
A0A1I9GEU1_NEIME_Kennouche_2019.csv,0,100,single_plus_double,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,100,822,0.09309055428744908,0.0,3.193,0.9859002169197397
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,20,single_only,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,20,902,0.07753444164190856,0.0,2.987,0.9815618221258134
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,20,mixed_random,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,20,902,-0.0010351675091045123,0.0,3.052,0.9837310195227765
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,20,single_plus_double,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,20,902,0.04669124386565587,0.0,2.908,0.9804772234273319
