assay,seed,double_budget,model,selection_policy,n_train_doubles,n_test_higher,spearman_higher,abs_spearman_higher,top1pct_recall_at_100,pair_coverage
F7YBW8_MESOW_Aakre_2015.csv,all,0,additive_all_singles,none,0,8656,0.2521572133539077,0.2521572133539077,0.27586206896551724,0.0
F7YBW8_MESOW_Aakre_2015.csv,all,0,additive_plus_zscore:ProSST-2048,singles_only,0,8656,0.2521573030236752,0.2521573030236752,0.27586206896551724,0.0
F7YBW8_MESOW_Aakre_2015.csv,all,0,additive_plus_zscore:ESM3,singles_only,0,8656,0.2521573114885514,0.2521573114885514,0.27586206896551724,0.0
F7YBW8_MESOW_Aakre_2015.csv,all,0,additive_plus_zscore:S2F_MSA,singles_only,0,8656,0.2521572859088983,0.2521572859088983,0.27586206896551724,0.0
F7YBW8_MESOW_Aakre_2015.csv,all,0,additive_plus_zscore:VenusREM,singles_only,0,8656,0.25215719685655064,0.25215719685655064,0.27586206896551724,0.0
F7YBW8_MESOW_Aakre_2015.csv,all,0,additive_plus_plm_ensemble,singles_only,0,8656,0.25215738411071315,0.25215738411071315,0.27586206896551724,0.0
F7YBW8_MESOW_Aakre_2015.csv,0,20,pairwise_residual_from_doubles,random_doubles,20,8656,0.25826101403333446,0.25826101403333446,0.26436781609195403,0.04170685774654357
F7YBW8_MESOW_Aakre_2015.csv,0,20,pairwise_plus_zscore:ProSST-2048,random_doubles,20,8656,0.2582611241504289,0.2582611241504289,0.26436781609195403,0.04170685774654357
F7YBW8_MESOW_Aakre_2015.csv,0,20,pairwise_plus_zscore:ESM3,random_doubles,20,8656,0.2582612313721938,0.2582612313721938,0.26436781609195403,0.04170685774654357
F7YBW8_MESOW_Aakre_2015.csv,0,20,pairwise_plus_zscore:S2F_MSA,random_doubles,20,8656,0.25826124541556217,0.25826124541556217,0.26436781609195403,0.04170685774654357
F7YBW8_MESOW_Aakre_2015.csv,0,20,pairwise_plus_zscore:VenusREM,random_doubles,20,8656,0.2582611241504289,0.2582611241504289,0.26436781609195403,0.04170685774654357
F7YBW8_MESOW_Aakre_2015.csv,0,20,pairwise_plus_plm_ensemble,random_doubles,20,8656,0.2582611899081774,0.2582611899081774,0.26436781609195403,0.04170685774654357
F7YBW8_MESOW_Aakre_2015.csv,0,20,pairwise_residual_from_doubles,informative_pair_coverage,20,8656,0.27615617529289216,0.27615617529289216,0.27586206896551724,0.0711956272105094
F7YBW8_MESOW_Aakre_2015.csv,0,20,pairwise_plus_zscore:ProSST-2048,informative_pair_coverage,20,8656,0.27615627625188327,0.27615627625188327,0.27586206896551724,0.0711956272105094
