assay,seed,double_budget,model,selection_policy,n_train_doubles,n_test_higher,spearman_higher,abs_spearman_higher,top1pct_recall_at_100,pair_coverage
F7YBW8_MESOW_Aakre_2015.csv,all,0,additive_all_singles,none,0,8656,0.2521572133539077,0.2521572133539077,0.27586206896551724,0.0
F7YBW8_MESOW_Aakre_2015.csv,0,20,pairwise_residual_from_doubles,random_doubles,20,8656,0.2650421280030457,0.2650421280030457,0.27586206896551724,0.04074227182949795
F7YBW8_MESOW_Aakre_2015.csv,0,20,pairwise_residual_from_doubles,informative_pair_coverage,20,8656,0.27615617529289216,0.27615617529289216,0.27586206896551724,0.0711956272105094
F7YBW8_MESOW_Aakre_2015.csv,0,50,pairwise_residual_from_doubles,random_doubles,50,8656,0.273964184790353,0.273964184790353,0.25287356321839083,0.10431307702907537
F7YBW8_MESOW_Aakre_2015.csv,0,50,pairwise_residual_from_doubles,informative_pair_coverage,50,8656,0.2894679776797402,0.2894679776797402,0.27586206896551724,0.17307427311561252
F7YBW8_MESOW_Aakre_2015.csv,0,100,pairwise_residual_from_doubles,random_doubles,100,8656,0.2782055780843039,0.2782055780843039,0.27586206896551724,0.21480409719351432
F7YBW8_MESOW_Aakre_2015.csv,0,100,pairwise_residual_from_doubles,informative_pair_coverage,100,8656,0.27259015649058865,0.27259015649058865,0.27586206896551724,0.3198291304946948
F7YBW8_MESOW_Aakre_2015.csv,1,20,pairwise_residual_from_doubles,random_doubles,20,8656,0.2258008294938691,0.2258008294938691,0.25287356321839083,0.03642460153415093
F7YBW8_MESOW_Aakre_2015.csv,1,20,pairwise_residual_from_doubles,informative_pair_coverage,20,8656,0.27615617529289216,0.27615617529289216,0.27586206896551724,0.0711956272105094
F7YBW8_MESOW_Aakre_2015.csv,1,50,pairwise_residual_from_doubles,random_doubles,50,8656,0.23294915609351333,0.23294915609351333,0.2413793103448276,0.10024803637866887
F7YBW8_MESOW_Aakre_2015.csv,1,50,pairwise_residual_from_doubles,informative_pair_coverage,50,8656,0.2894679776797402,0.2894679776797402,0.27586206896551724,0.17307427311561252
F7YBW8_MESOW_Aakre_2015.csv,1,100,pairwise_residual_from_doubles,random_doubles,100,8656,0.2685151357290132,0.2685151357290132,0.26436781609195403,0.19826833861558954
F7YBW8_MESOW_Aakre_2015.csv,1,100,pairwise_residual_from_doubles,informative_pair_coverage,100,8656,0.27259015649058865,0.27259015649058865,0.27586206896551724,0.3198291304946948
F7YBW8_MESOW_Aakre_2015.csv,2,20,pairwise_residual_from_doubles,random_doubles,20,8656,0.23879101151957008,0.23879101151957008,0.25287356321839083,0.0369528271553902
F7YBW8_MESOW_Aakre_2015.csv,2,20,pairwise_residual_from_doubles,informative_pair_coverage,20,8656,0.27615617529289216,0.27615617529289216,0.27586206896551724,0.0711956272105094
F7YBW8_MESOW_Aakre_2015.csv,2,50,pairwise_residual_from_doubles,random_doubles,50,8656,0.24703475480245973,0.24703475480245973,0.1724137931034483,0.09599926507739653
F7YBW8_MESOW_Aakre_2015.csv,2,50,pairwise_residual_from_doubles,informative_pair_coverage,50,8656,0.2894679776797402,0.2894679776797402,0.27586206896551724,0.17307427311561252
F7YBW8_MESOW_Aakre_2015.csv,2,100,pairwise_residual_from_doubles,random_doubles,100,8656,0.2586121227471705,0.2586121227471705,0.08045977011494253,0.19732671902990218
F7YBW8_MESOW_Aakre_2015.csv,2,100,pairwise_residual_from_doubles,informative_pair_coverage,100,8656,0.27259015649058865,0.27259015649058865,0.27586206896551724,0.3198291304946948
F7YBW8_MESOW_Aakre_2015.csv,3,20,pairwise_residual_from_doubles,random_doubles,20,8656,0.2531612468058928,0.2531612468058928,0.26436781609195403,0.047540305911533694
F7YBW8_MESOW_Aakre_2015.csv,3,20,pairwise_residual_from_doubles,informative_pair_coverage,20,8656,0.27615617529289216,0.27615617529289216,0.27586206896551724,0.0711956272105094
F7YBW8_MESOW_Aakre_2015.csv,3,50,pairwise_residual_from_doubles,random_doubles,50,8656,0.27217513290026873,0.27217513290026873,0.1724137931034483,0.10148821827201322
F7YBW8_MESOW_Aakre_2015.csv,3,50,pairwise_residual_from_doubles,informative_pair_coverage,50,8656,0.2894679776797402,0.2894679776797402,0.27586206896551724,0.17307427311561252
F7YBW8_MESOW_Aakre_2015.csv,3,100,pairwise_residual_from_doubles,random_doubles,100,8656,0.28598575812000976,0.28598575812000976,0.12643678160919541,0.19486932157457168
F7YBW8_MESOW_Aakre_2015.csv,3,100,pairwise_residual_from_doubles,informative_pair_coverage,100,8656,0.27259015649058865,0.27259015649058865,0.27586206896551724,0.3198291304946948
F7YBW8_MESOW_Aakre_2015.csv,4,20,pairwise_residual_from_doubles,random_doubles,20,8656,0.22927272079943925,0.22927272079943925,0.28735632183908044,0.04124753111937899
F7YBW8_MESOW_Aakre_2015.csv,4,20,pairwise_residual_from_doubles,informative_pair_coverage,20,8656,0.27615617529289216,0.27615617529289216,0.27586206896551724,0.0711956272105094
F7YBW8_MESOW_Aakre_2015.csv,4,50,pairwise_residual_from_doubles,random_doubles,50,8656,0.2576558080109534,0.2576558080109534,0.21839080459770116,0.09992650773965367
F7YBW8_MESOW_Aakre_2015.csv,4,50,pairwise_residual_from_doubles,informative_pair_coverage,50,8656,0.2894679776797402,0.2894679776797402,0.27586206896551724,0.17307427311561252
F7YBW8_MESOW_Aakre_2015.csv,4,100,pairwise_residual_from_doubles,random_doubles,100,8656,0.2764663014714749,0.2764663014714749,0.1839080459770115,0.2001286114556061
F7YBW8_MESOW_Aakre_2015.csv,4,100,pairwise_residual_from_doubles,informative_pair_coverage,100,8656,0.27259015649058865,0.27259015649058865,0.27586206896551724,0.3198291304946948
F7YBW8_MESOW_Ding_2023.csv,all,0,additive_all_singles,none,0,7756,0.18192844727623003,0.18192844727623003,0.07692307692307693,0.0
F7YBW8_MESOW_Ding_2023.csv,0,20,pairwise_residual_from_doubles,random_doubles,20,7756,0.20575005093087975,0.20575005093087975,0.10256410256410256,0.0055512545307386425
F7YBW8_MESOW_Ding_2023.csv,0,20,pairwise_residual_from_doubles,informative_pair_coverage,20,7756,0.20538567123136986,0.20538567123136986,0.10256410256410256,0.006518985114544111
F7YBW8_MESOW_Ding_2023.csv,0,50,pairwise_residual_from_doubles,random_doubles,26,7756,0.20435523230466626,0.20435523230466626,0.10256410256410256,0.00694126755111377
F7YBW8_MESOW_Ding_2023.csv,0,50,pairwise_residual_from_doubles,informative_pair_coverage,26,7756,0.20435523230466626,0.20435523230466626,0.10256410256410256,0.00694126755111377
F7YBW8_MESOW_Ding_2023.csv,0,100,pairwise_residual_from_doubles,random_doubles,26,7756,0.20435523230466626,0.20435523230466626,0.10256410256410256,0.00694126755111377
F7YBW8_MESOW_Ding_2023.csv,0,100,pairwise_residual_from_doubles,informative_pair_coverage,26,7756,0.20435523230466626,0.20435523230466626,0.10256410256410256,0.00694126755111377
F7YBW8_MESOW_Ding_2023.csv,1,20,pairwise_residual_from_doubles,random_doubles,20,7756,0.19202563450682236,0.19202563450682236,0.08974358974358974,0.0038709223352218743
F7YBW8_MESOW_Ding_2023.csv,1,20,pairwise_residual_from_doubles,informative_pair_coverage,20,7756,0.20538567123136986,0.20538567123136986,0.10256410256410256,0.006518985114544111
F7YBW8_MESOW_Ding_2023.csv,1,50,pairwise_residual_from_doubles,random_doubles,26,7756,0.20435523230466626,0.20435523230466626,0.10256410256410256,0.00694126755111377
F7YBW8_MESOW_Ding_2023.csv,1,50,pairwise_residual_from_doubles,informative_pair_coverage,26,7756,0.20435523230466626,0.20435523230466626,0.10256410256410256,0.00694126755111377
F7YBW8_MESOW_Ding_2023.csv,1,100,pairwise_residual_from_doubles,random_doubles,26,7756,0.20435523230466626,0.20435523230466626,0.10256410256410256,0.00694126755111377
F7YBW8_MESOW_Ding_2023.csv,1,100,pairwise_residual_from_doubles,informative_pair_coverage,26,7756,0.20435523230466626,0.20435523230466626,0.10256410256410256,0.00694126755111377
F7YBW8_MESOW_Ding_2023.csv,2,20,pairwise_residual_from_doubles,random_doubles,20,7756,0.1954705964183989,0.1954705964183989,0.08974358974358974,0.00505859168807404
F7YBW8_MESOW_Ding_2023.csv,2,20,pairwise_residual_from_doubles,informative_pair_coverage,20,7756,0.20538567123136986,0.20538567123136986,0.10256410256410256,0.006518985114544111
F7YBW8_MESOW_Ding_2023.csv,2,50,pairwise_residual_from_doubles,random_doubles,26,7756,0.20435523230466626,0.20435523230466626,0.10256410256410256,0.00694126755111377
F7YBW8_MESOW_Ding_2023.csv,2,50,pairwise_residual_from_doubles,informative_pair_coverage,26,7756,0.20435523230466626,0.20435523230466626,0.10256410256410256,0.00694126755111377
F7YBW8_MESOW_Ding_2023.csv,2,100,pairwise_residual_from_doubles,random_doubles,26,7756,0.20435523230466626,0.20435523230466626,0.10256410256410256,0.00694126755111377
F7YBW8_MESOW_Ding_2023.csv,2,100,pairwise_residual_from_doubles,informative_pair_coverage,26,7756,0.20435523230466626,0.20435523230466626,0.10256410256410256,0.00694126755111377
F7YBW8_MESOW_Ding_2023.csv,3,20,pairwise_residual_from_doubles,random_doubles,20,7756,0.19609378392569835,0.19609378392569835,0.08974358974358974,0.005419291269310624
F7YBW8_MESOW_Ding_2023.csv,3,20,pairwise_residual_from_doubles,informative_pair_coverage,20,7756,0.20538567123136986,0.20538567123136986,0.10256410256410256,0.006518985114544111
F7YBW8_MESOW_Ding_2023.csv,3,50,pairwise_residual_from_doubles,random_doubles,26,7756,0.20435523230466626,0.20435523230466626,0.10256410256410256,0.00694126755111377
F7YBW8_MESOW_Ding_2023.csv,3,50,pairwise_residual_from_doubles,informative_pair_coverage,26,7756,0.20435523230466626,0.20435523230466626,0.10256410256410256,0.00694126755111377
F7YBW8_MESOW_Ding_2023.csv,3,100,pairwise_residual_from_doubles,random_doubles,26,7756,0.20435523230466626,0.20435523230466626,0.10256410256410256,0.00694126755111377
F7YBW8_MESOW_Ding_2023.csv,3,100,pairwise_residual_from_doubles,informative_pair_coverage,26,7756,0.20435523230466626,0.20435523230466626,0.10256410256410256,0.00694126755111377
F7YBW8_MESOW_Ding_2023.csv,4,20,pairwise_residual_from_doubles,random_doubles,20,7756,0.20169729257926564,0.20169729257926564,0.08974358974358974,0.005648027589119189
F7YBW8_MESOW_Ding_2023.csv,4,20,pairwise_residual_from_doubles,informative_pair_coverage,20,7756,0.20538567123136986,0.20538567123136986,0.10256410256410256,0.006518985114544111
F7YBW8_MESOW_Ding_2023.csv,4,50,pairwise_residual_from_doubles,random_doubles,26,7756,0.20435523230466626,0.20435523230466626,0.10256410256410256,0.00694126755111377
F7YBW8_MESOW_Ding_2023.csv,4,50,pairwise_residual_from_doubles,informative_pair_coverage,26,7756,0.20435523230466626,0.20435523230466626,0.10256410256410256,0.00694126755111377
F7YBW8_MESOW_Ding_2023.csv,4,100,pairwise_residual_from_doubles,random_doubles,26,7756,0.20435523230466626,0.20435523230466626,0.10256410256410256,0.00694126755111377
