order_bucket,method,metric,n,mean,ci95_low,ci95_high
double,ESM3,abs_spearman,69,0.35536744847807367,0.3120833227240152,0.3964572603299935
double,GEMME,abs_spearman,69,0.3074005973026022,0.26503814319670427,0.34494912699065183
double,MSA_Transformer_ensemble,abs_spearman,69,0.28865692490734396,0.24794029631638764,0.3319611875101101
double,ProSST-2048,abs_spearman,69,0.4167616564934326,0.3665353543719026,0.4654829361116119
double,TranceptEVE_L,abs_spearman,69,0.319438573177588,0.27885701515907524,0.36268659105093204
double,additive_all_singles,abs_spearman,69,0.6842159521231286,0.6346428864067325,0.732462195498779
higher,ESM3,abs_spearman,11,0.38983338365573145,0.26293044692304945,0.5123555143271173
higher,GEMME,abs_spearman,11,0.436709828259306,0.33519642201373023,0.5325157869935538
higher,MSA_Transformer_ensemble,abs_spearman,11,0.4417100390723709,0.3459076540609694,0.537287403450369
higher,ProSST-2048,abs_spearman,11,0.3844100102324344,0.2614878682470928,0.49004606991420746
higher,TranceptEVE_L,abs_spearman,11,0.42191618183157187,0.3016149816358609,0.5226129153226823
higher,additive_all_singles,abs_spearman,11,0.3421649365689778,0.17989012629094212,0.5118074459962192
single,ESM3,abs_spearman,217,0.48280008733381113,0.4603027064349277,0.5057519029824143
single,GEMME,abs_spearman,217,0.45053855512065655,0.4329855295393855,0.46879439350507246
single,MSA_Transformer_ensemble,abs_spearman,217,0.4320859319518098,0.41170099701288776,0.4523629552698553
single,ProSST-2048,abs_spearman,217,0.5221539756950848,0.500787790879582,0.54371256402473
single,TranceptEVE_L,abs_spearman,217,0.4497446687813555,0.42905272207425404,0.46860488436621794
single,additive_all_singles,abs_spearman,217,0.9999997704193805,0.9999993142911874,0.9999999999828294
